state,age group,population
Alabama,15-19,152664
Alabama,20-24,145296
Alabama,25-29,136593
Alabama,30-34,145377
Alabama,35-39,141238
Alabama,40-44,150789
Alaska,15-19,24428
Alaska,20-24,24917
Alaska,25-29,27728
Alaska,30-34,31269
Alaska,35-39,32797
Alaska,40-44,24939
Arizona,15-19,286263
Arizona,20-24,271040
Arizona,25-29,259588
Arizona,30-34,265213
Arizona,35-39,248912
Arizona,40-44,242574
Arkansas,15-19,101738
Arkansas,20-24,94311
Arkansas,25-29,89799
Arkansas,30-34,92237
Arkansas,35-39,91724
Arkansas,40-44,97744
California,15-19,1338694
California,20-24,1346856
California,25-29,1488323
California,30-34,1648061
California,35-39,1517528
California,40-44,1371270
Colorado,15-19,174670
Colorado,20-24,178476
Colorado,25-29,173250
Colorado,30-34,181506
Colorado,35-39,179851
Colorado,40-44,168852
Connecticut,15-19,100491
Connecticut,20-24,101153
Connecticut,25-29,113135
Connecticut,30-34,127491
Connecticut,35-39,127193
Connecticut,40-44,124354
Delaware,15-19,28443
Delaware,20-24,27602
Delaware,25-29,27520
Delaware,30-34,30442
Delaware,35-39,30185
Delaware,40-44,33017
District of Columbia,15-19,19558
District of Columbia,20-24,18942
District of Columbia,25-29,21757
District of Columbia,30-34,23775
District of Columbia,35-39,14327
District of Columbia,40-44,15941
Florida,15-19,685945
Florida,20-24,652197
Florida,25-29,647784
Florida,30-34,729148
Florida,35-39,730133
Florida,40-44,701403
Georgia,15-19,379268
Georgia,20-24,380382
Georgia,25-29,357995
Georgia,30-34,369652
Georgia,35-39,344666
Georgia,40-44,346093
Hawaii,15-19,42275
Hawaii,20-24,41240
Hawaii,25-29,40199
Hawaii,30-34,47278
Hawaii,35-39,45954
Hawaii,40-44,39368
Idaho,15-19,56042
Idaho,20-24,49310
Idaho,25-29,50173
Idaho,30-34,56722
Idaho,35-39,60217
Idaho,40-44,69948
Illinois,15-19,417356
Illinois,20-24,418078
Illinois,25-29,430352
Illinois,30-34,448634
Illinois,35-39,429519
Illinois,40-44,429141
Indiana,15-19,226494
Indiana,20-24,219628
Indiana,25-29,210622
Indiana,30-34,215104
Indiana,35-39,204056
Indiana,40-44,218496
Iowa,15-19,95363
Iowa,20-24,86468
Iowa,25-29,81469
Iowa,30-34,87691
Iowa,35-39,89001
Iowa,40-44,102821
Kansas,15-19,93510
Kansas,20-24,86786
Kansas,25-29,83436
Kansas,30-34,89995
Kansas,35-39,91853
Kansas,40-44,94296
Kentucky,15-19,140461
Kentucky,20-24,138750
Kentucky,25-29,132044
Kentucky,30-34,137836
Kentucky,35-39,134792
Kentucky,40-44,143439
Louisiana,15-19,166037
Louisiana,20-24,153143
Louisiana,25-29,139971
Louisiana,30-34,146769
Louisiana,35-39,146948
Louisiana,40-44,153884
Maine,15-19,32939
Maine,20-24,30084
Maine,25-29,34888
Maine,30-34,44470
Maine,35-39,49793
Maine,40-44,51597
Maryland,15-19,199854
Maryland,20-24,209656
Maryland,25-29,227694
Maryland,30-34,258808
Maryland,35-39,255324
Maryland,40-44,228984
Massachusetts,15-19,217003
Massachusetts,20-24,223884
Massachusetts,25-29,228381
Massachusetts,30-34,247522
Massachusetts,35-39,224901
Massachusetts,40-44,220900
Michigan,15-19,320806
Michigan,20-24,310220
Michigan,25-29,321956
Michigan,30-34,358734
Michigan,35-39,349651
Michigan,40-44,360515
Minnesota,15-19,179579
Minnesota,20-24,177282
Minnesota,25-29,183325
Minnesota,30-34,200357
Minnesota,35-39,206182
Minnesota,40-44,203942
Mississippi,15-19,100905
Mississippi,20-24,92428
Mississippi,25-29,83402
Mississippi,30-34,90538
Mississippi,35-39,89207
Mississippi,40-44,102802
Missouri,15-19,200843
Missouri,20-24,192386
Missouri,25-29,189845
Missouri,30-34,204172
Missouri,35-39,201393
Missouri,40-44,205128
Montana,15-19,26507
Montana,20-24,22505
Montana,25-29,23187
Montana,30-34,28745
Montana,35-39,34634
Montana,40-44,37462
Nebraska,15-19,60203
Nebraska,20-24,54702
Nebraska,25-29,50706
Nebraska,30-34,53049
Nebraska,35-39,54067
Nebraska,40-44,56824
Nevada,15-19,111894
Nevada,20-24,108594
Nevada,25-29,113092
Nevada,30-34,115208
Nevada,35-39,106858
Nevada,40-44,108229
New Hampshire,15-19,42008
New Hampshire,20-24,38449
New Hampshire,25-29,43563
New Hampshire,30-34,53915
New Hampshire,35-39,55491
New Hampshire,40-44,56581
New Jersey,15-19,259095
New Jersey,20-24,256014
New Jersey,25-29,285728
New Jersey,30-34,322654
New Jersey,35-39,329505
New Jersey,40-44,323218
New Mexico,15-19,61575
New Mexico,20-24,54630
New Mexico,25-29,53335
New Mexico,30-34,61004
New Mexico,35-39,66199
New Mexico,40-44,64181
New York,15-19,583958
New York,20-24,607272
New York,25-29,648008
New York,30-34,707378
New York,35-39,660469
New York,40-44,628305
North Carolina,15-19,373978
North Carolina,20-24,377503
North Carolina,25-29,350072
North Carolina,30-34,360710
North Carolina,35-39,324659
North Carolina,40-44,324240
North Dakota,15-19,19638
North Dakota,20-24,17035
North Dakota,25-29,16044
North Dakota,30-34,17871
North Dakota,35-39,18278
North Dakota,40-44,19193
Ohio,15-19,356347
Ohio,20-24,343803
Ohio,25-29,345758
Ohio,30-34,375769
Ohio,35-39,370348
Ohio,40-44,383164
Oklahoma,15-19,131307
Oklahoma,20-24,119511
Oklahoma,25-29,106905
Oklahoma,30-34,112977
Oklahoma,35-39,112801
Oklahoma,40-44,117938
Oregon,15-19,127471
Oregon,20-24,128932
Oregon,25-29,138952
Oregon,30-34,152041
Oregon,35-39,156427
Oregon,40-44,159607
Pennsylvania,15-19,379062
Pennsylvania,20-24,364024
Pennsylvania,25-29,375273
Pennsylvania,30-34,425704
Pennsylvania,35-39,416662
Pennsylvania,40-44,430465
Rhode Island,15-19,36360
Rhode Island,20-24,35051
Rhode Island,25-29,37173
Rhode Island,30-34,41958
Rhode Island,35-39,36597
Rhode Island,40-44,40428
South Carolina,15-19,156771
South Carolina,20-24,153976
South Carolina,25-29,141393
South Carolina,30-34,151173
South Carolina,35-39,140622
South Carolina,40-44,147814
South Dakota,15-19,24528
South Dakota,20-24,21040
South Dakota,25-29,19742
South Dakota,30-34,21691
South Dakota,35-39,23801
South Dakota,40-44,25938
Tennessee,15-19,230382
Tennessee,20-24,232236
Tennessee,25-29,221971
Tennessee,30-34,227664
Tennessee,35-39,213997
Tennessee,40-44,215905
Texas,15-19,1065247
Texas,20-24,1005527
Texas,25-29,963731
Texas,30-34,1002435
Texas,35-39,986293
Texas,40-44,953398
Utah,15-19,140156
Utah,20-24,129823
Utah,25-29,103876
Utah,30-34,96580
Utah,35-39,87951
Utah,40-44,97214
Vermont,15-19,18072
Vermont,20-24,16871
Vermont,25-29,18949
Vermont,30-34,23112
Vermont,35-39,24109
Vermont,40-44,24222
Virginia,15-19,299852
Virginia,20-24,304548
Virginia,25-29,301523
Virginia,30-34,323790
Virginia,35-39,306982
Virginia,40-44,287695
Washington,15-19,222082
Washington,20-24,231235
Washington,25-29,253022
Washington,30-34,282576
Washington,35-39,281807
Washington,40-44,263141
West Virginia,15-19,50785
West Virginia,20-24,46121
West Virginia,25-29,42848
West Virginia,30-34,48409
West Virginia,35-39,49971
West Virginia,40-44,60808
Wisconsin,15-19,178929
Wisconsin,20-24,168903
Wisconsin,25-29,170800
Wisconsin,30-34,192911
Wisconsin,35-39,203250
Wisconsin,40-44,208944
Wyoming,15-19,13952
Wyoming,20-24,12070
Wyoming,25-29,12284
Wyoming,30-34,14097
Wyoming,35-39,17026
Wyoming,40-44,18900